"ID",Title,Description,Guidances,images,Latitude,Longitude,Postal code,Country code
843396,"Full-Day Private Guided Tour to Kyoto, Arashiyama","Come and visit Arashiyama, one of Kyoto’s traditional districts, for a full day on foot and by public transport!<br/><br/>We start with a hike to the top of Mount Iwatayama. Monkeys are friendly, and we can even feed them! <br/><br/>We cross the Togetsu-kyo bridge to reach the old quarter of Saga-Arashiyama. We take a break there for lunch.<br/><br/>After our break, we visit the Tenryuji Zen Buddhist Temple, (14th century). Highlight of the day: we go for a walk in the world-famous Arashiyama bamboo grove. Then we walk along the Katsura River, a good breath of fresh air.<br/><br/>We end the excursion with a quiet walk to your station, with memorable memories full of heads.<br/><br/>After this day, you will learn more about the history of Japan. You will also have had plenty of eyes of this lush nature and beautiful old town. Are you coming? We are waiting for you!","{""guidanceTypes"":[{""id"":null,""created"":[2024,1,14,6,39,18,557236000],""guidanceType"":""GUIDED"",""languages"":[""fr"",""en"",""ja""],""displayLanguages"":[]}]}",https%3A%2F%2Fbokun.s3.amazonaws.com%2F46d8ebd2-4124-45b7-a4f7-dc5839d94712.jpg,,,,
843397,Full-Day Private Guided Tour to Kyoto Temples,"Come with us to visit Kyoto for 8 hours on foot and by public transport!<br/><br/>We start with the famous Golden Pavilion, symbol of the splendour of Kyoto with its exterior covered in gold leaf. <br/><br/>Then head for the Path of Philosophy, full of nature. We take it to the Silver Pavilion, famous for its pagoda, Zen Garden, and views of Kyoto.<br/>This temple is more sober but just as beautiful as the Golden Pavilion.<br/><br/>In Kiyomizu-Dera, we admire the panoramic view of Kyoto from the famous terrace. We also explore the surrounding temples and buildings inscribed in the surrounding nature.<br/><br/>We end with the Shinto Shrine Fushimi Inari Taisha, famous for its thousands of red torii portals along the way.<br/><br/>After this day, you will know more about the religious history and culture of Japan. You will also have been dazzled by the architecture, views and nature of the places visited. Are you coming? We are waiting for you! ","{""guidanceTypes"":[{""id"":null,""created"":[2024,1,5,23,13,31,649271000],""guidanceType"":""GUIDED"",""languages"":[""fr"",""en"",""ja""],""displayLanguages"":[]}]}",https%3A%2F%2Fbokun.s3.amazonaws.com%2Fbbf6b0be-1c2c-477a-8aef-2701efb5f9d5.jpg,,,,
843402,Full-Day Private Guided Tour to Kobe City,"Come with us for a private guided tour of on foot and by public transport to Kobe, where history, fashion and modernity meet.<br/><br/>We start at Sannomiya Station and discover the historic Kobe Kitano Ijinkangai (foreign residences district), a place steeped in history.<br/><br/>We then take to the bustling shopping street of Kobe Motomachi, then dive into the vibrant atmosphere of Nankingmachi, the city’s vibrant Chinatown.<br/><br/>We conclude our visit to Harborland, a charming family-run port with stunning views of the city from the mountains to the sea.<br/><br/>After this day, you will learn more about the History of Kobe. You will also have had plenty in your eyes with this modern family and lively city. Are you coming? We are waiting for you!","{""guidanceTypes"":[{""id"":null,""created"":[2021,6,9,3,52,18,591000000],""guidanceType"":""GUIDED"",""languages"":[""fr"",""en"",""ja""]}]}",https%3A%2F%2Fbokun.s3.amazonaws.com%2F5435eb01-e373-4c09-86e8-c1fb93f7f804.jpg,,,,
843437,Full-Day Private Guided Tour to a Japanese Mountain: Ikoma,"Come with us to visit Mount Ikoma for a day on foot and by public transport. The culture, history and natural beauty of Japan will be there for your great pleasure!<br/><br/>We begin our visit to the Shinto Shrine Ishikiri Tsurugiya, a 2,700-year-old sacred site rich in history. Then we explore Ishikiri Sando, the busy shopping street popular with locals and celebrities.<br/><br/>We then proceed to Mount Ikoma. We visit Monzenmachi, a charming area leading to Hozanji Temple. We discover this ancient temple of the 12th century, dedicated to Ganesh.<br/><br/>We finish with Ikoma Skyland, an amusement park with breathtaking views of Osaka Bay and Nara’s bowl. These views are particularly magical at sunset.<br/><br/>After this day, you will learn more about the history of Japan. You will also have been amazed with the landscapes and panoramic views throughout the visit. Are you coming? We are waiting for you!","{""guidanceTypes"":[{""id"":null,""created"":[2024,1,14,7,9,11,259151000],""guidanceType"":""GUIDED"",""languages"":[""fr"",""en"",""ja""],""displayLanguages"":[]}]}",https%3A%2F%2Fbokun.s3.amazonaws.com%2Fc98b69a7-5359-4aeb-adc3-3be8b59ca2e6.jpg,,,,
843440,Full-Day Goldfish Unique Experience in Yamato-Koriyama,"Come with us to Yamato-Koriyama to visit its old town on foot and by public transport and learn more about Japanese goldfish! <br/><br/>We start with the castle of Koriyama, feudal military vestige of the city. We then walk around the city. Traditional houses and small streams welcome us and offer us a glimpse of the Edo period (16th-19th century).<br/><br/>We can have an indigo dyeing experience in Hakomotakan Konya, ancestral know-how. We can then try our luck at goldfish fishing, a traditional Japanese summer activity, in Kochikuya. Here we can practice all year round! Finally, we visit the Goldfish Museum. We are learning more about the unique culture of these fish in the city.<br/><br/>After this day, you will learn more about Japanese history and goldfish, part of Japanese culture. Are you coming? We are waiting for you!","{""guidanceTypes"":[{""id"":null,""created"":[2021,6,9,4,19,32,836000000],""guidanceType"":""GUIDED"",""languages"":[""fr"",""en"",""ja""]}]}",https%3A%2F%2Fbokun.s3.amazonaws.com%2Fa19cf11e-02db-4cb9-9215-38ded02524ab.jpg,,,,
843442,"Full-Day Unique Sumo Experience in Katsuragi, Nara","Come with us to visit Taima district in Katsuragi on foot and by public transport!<br/><br/>Taima-dera is a Buddhist temple founded in 612. We begin our visit there. We will see its famous Taima Mandala, a magnificent representation of Buddhist paradise. We will then take a walk on Taimadera Street, an old town that is tending to modernize.<br/><br/>We will stop at the Kehayaza Sumo Museum. We will learn more about this iconic sport linked to the history and culture of Japan. We can even have a fun sumo experience!<br/><br/>The end of our trip will take us to Chujodo Honpo, a traditional pastry shop near the station. We can take a gourmet break to enjoy the delicious chujo mochi, a sweet local specialty.<br/><br/>After this day, you will learn more about Japanese history, sumo and Buddhism. You will also have had a good breath of fresh air in the Japanese countryside. Are you coming? We are waiting for you!","{""guidanceTypes"":[{""id"":null,""created"":[2024,1,10,4,54,14,127708000],""guidanceType"":""GUIDED"",""languages"":[""fr"",""en"",""ja""],""displayLanguages"":[]}]}",https%3A%2F%2Fbokun.s3.amazonaws.com%2Fa809e8bf-2c26-4a7e-82a8-8de57360c8a1.jpg,,,,
843443,Full-Day Private Guided Unique Ninja Experience in Iga,"Come with us for a thrilling 8-hour adventure in Iga and dive into the world of ninjas!<br/><br/>This walking and public transport tour begins with our transformation into a ninja. ""Ninja Henshin no Jutsu""! Then head to the ninja house. We will be delighted by its traps, secret passages and clever hiding places.<br/><br/>We then visit the Ninja Iga-ryu Museum, where we can discover their history as well as their ancestral arts and techniques.<br/><br/>If it takes place, we will see a ninja show. Iga's troupe of real ninjas will dazzle us with their acrobatic performances. We can even try some moves with shuriken throws!<br/><br/>The day continues with a visit to Iga Ueno Castle and then the city, which we explore wearing your ninja outfit.<br/><br/>After this day, you will learn more about the history of Japan and the mysterious ninja while being amazed by the sceneries. Are you coming? We are waiting for you!","{""guidanceTypes"":[{""id"":null,""created"":[2024,1,8,7,6,39,809203000],""guidanceType"":""GUIDED"",""languages"":[""fr"",""en"",""ja""],""displayLanguages"":[]}]}",https%3A%2F%2Fbokun.s3.amazonaws.com%2F6b41607a-b9a0-4e46-aebc-7a83a8cd466f.jpg,,,,
843552,Full-Day Private Guided tour to Kyoto City,"Come with us to discover Kyoto through a day tour on foot and by public transport!<br/><br/>The Imperial Palace in Kyoto was the residence of emperors until 1868. We start the day by visiting it by immersing ourselves in centuries of imperial history.<br/><br/>Then head to Nijo Castle! We have here the symbol of the reign of the samurai and the Tokugawa clan from the 17th to the 19th century. Its “nightingale floor” and beautiful gardens are there to delight you.<br/><br/>We have lunch at the Nishiki market, Kyoto food pantry. Fresh products, authentic Japanese flavors sweet and savory... Perfect for us!<br/><br/>We end our day in Gion, the traditional neighborhood. To us the historic streets! If we're lucky, we might even meet a graceful geisha on a walk.<br/><br/>This tour offers a perfect mix of history, culture, and flavors. Book now and let Kyoto seduce you. Are you coming? We are waiting for you!<br/>","{""guidanceTypes"":[{""id"":null,""created"":[2023,12,12,12,34,4,248158000],""guidanceType"":""GUIDED"",""languages"":[""fr"",""en"",""ja""],""displayLanguages"":[]}]}",https%3A%2F%2Fbokun.s3.amazonaws.com%2F6ed766a7-a854-4d60-8ce9-60c08d6aaf81.jpg,,,,
843554,Full-Day Private Guided Tour to Himeji Castle,"Come with us to discover Himeji during this day of private guided on foot and by public transport tour!<br/><br/>We start with a visit to Mount Shosha and Engyoji Temple. This 10th century temple offers us calm and serenity. This temple, reputed to be authentic, is prized by film makers for its medieval Japanese atmosphere. It is even here that the film “The Last Samurai” was shot. The opportunity for us to visit it!<br/><br/>We then go to the beautiful castle of Himeji. Here, one of the 12 original castles of Japan still intact. Himeji Castle is a symbol of Japan’s feudal past, and we have the opportunity to discover its wooden keep as it was in 1618. Your guide will share fascinating anecdotes about the history of the castle and the ancient political landscape of Japan.<br/><br/>After this day, you will learn more about the history of Japan, while having a good breath of fresh air in nature. Are you coming? We are waiting for you!","{""guidanceTypes"":[{""id"":null,""created"":[2023,12,11,11,1,54,51366000],""guidanceType"":""GUIDED"",""languages"":[""fr"",""en"",""ja""],""displayLanguages"":[]}]}",https%3A%2F%2Fbokun.s3.amazonaws.com%2F9832b8f9-5c44-49e0-9447-d8bb9bc37645.jpg,,,,
843555,Full-Day Private Guided Tour to Osaka Castle,"Come with us to visit Osaka Castle for a day on foot and by public transport. Let's dive into Japanese history together for one day!<br/><br/>We first visit the Osaka History Museum, which traces the evolution of the city from its origins to the present day. We then go to the remains of Naniwa Palace, dating from the 7th century, located near the castle.<br/><br/>We finally enter the castle grounds to soak up the history of Japan, especially the end of the warring Provinces era (XV-17th century). Here we have the site of the famous Battle of Osaka in 1614-1615, which marked the fall of the Toyotomi and the rise of the Tokugawa.<br/><br/>After this day, you will learn more about the history of Japan and Osaka and you will have rejuvenated in the greenery of Osaka, with a good breath of clean air. Are you coming? We are waiting for you!","{""guidanceTypes"":[{""id"":null,""created"":[2021,12,1,13,4,47,667000000],""guidanceType"":""GUIDED"",""languages"":[""fr"",""en""]}]}",https%3A%2F%2Fbokun.s3.amazonaws.com%2Ff13c133f-7d74-47a3-a508-277b8329c742.jpg,,,,
843556,"Full-Day Private Guided to Osaka Modern City
","Come with us to visit modern Osaka for 8 hours!<br/><br/>This tour on foot and by public transport starts with Osaka Kita, with Umeda Sky Building and its observatory. What a breathtaking view! We then pass through Osaka Station, symbol of modern Osaka, to Ohatsu Tenjin Shinto Shrine, famous for its tragic love story.<br/><br/>Then, head to Osaka Minami, the southern neighborhood! Shinsaibashisuji, the paradise of shopping, welcomes us then we discover the dynamism of the American Village. We then walk to Dotonbori, the famous neon lights, and food stalls.<br/><br/>Further south, Denden Town! This is the electronic and pop culture district. Then we can immerse ourselves in the retro atmosphere of Shinsekai. We finish with the Kuromon market where you can taste local specialties, if you wish.<br/><br/>A full day to discover modern Osaka in all its facets. Are you coming? We are waiting for you!","{""guidanceTypes"":[{""id"":null,""created"":[2021,6,9,5,22,7,821000000],""guidanceType"":""GUIDED"",""languages"":[""fr"",""en"",""ja""]}]}",https%3A%2F%2Fbokun.s3.amazonaws.com%2F9fbb631b-b551-47b7-9467-faa783bbfce6.jpg,,,,
843557,One day Bleisure Private Tour in Kansai,"If you are a businesswoman or businessman on a business trip to Osaka or Kansai (Kyoto, Kobe, Nara, etc.) in Japan, this tour is for you! <br/><br/>Customize your tour to your needs and have a guide accompany you to your meetings or exposition to translate and interpret between French, Japanese, and English languages.<br/><br/>After you are done with your work, and if there is still enough time, your guide can take you on a tour of the city so you can discover the culture you are now dealing with. Following your meeting place, visit the modern Osaka through one of the two districts of Osaka Kita or Minami, visit Kyoto's Gion District if you are in its neighborhood, Kobe's Downtown and Harborland, around Nara Park, or else.","{""guidanceTypes"":[{""id"":null,""created"":[2021,6,9,5,30,35,562000000],""guidanceType"":""GUIDED"",""languages"":[""en"",""fr"",""ja""]}]}",https%3A%2F%2Fbokun.s3.amazonaws.com%2F08f81c92-d28e-44aa-bce1-d2e7b4aad4de.jpg,,,,
843558,"Full-Day Private Guided Tour to Kashihara
","Come with us to discover Kashihara, with its glorious past, during a day on foot and by public transport!<br/><br/>Kashihara was the first capital of Japan. We start the tour with Shinto Kashihara-jingu Shrine (1889). The first imperial palace, dating from 660 BC, was built on this site and now Emperor Jinmu, the first Emperor of Japan, is venerated there.<br/><br/>Your guide will then accompany you through the picturesque streets of Imai-cho. We walk around this traditional Japanese city that preserves its Edo-era architecture. Once a temple city, Imai-cho became an active trading city during the Edo period. Its well-preserved buildings offer a fascinating glimpse into Japan’s past.<br/><br/>After this day, you will learn more about the origins and exciting history of Japan and you will leave full of memories. Are you coming? We are waiting for you!","{""guidanceTypes"":[{""id"":null,""created"":[2021,6,9,5,36,16,761000000],""guidanceType"":""GUIDED"",""languages"":[""fr"",""en"",""ja""]}]}",https%3A%2F%2Fbokun.s3.amazonaws.com%2F554073c3-a49f-43bd-bf11-1f3103e79503.jpg,,,,
843559,Full-Day Private Guided Tour to Asuka from Kashihara,"Come and visit Asuka, a village steeped in Japan’s protohistoric past.<br/><br/>On this tour on foot and by public transports, you will discover ancient Japan, with ancient imperial capitals (especially from the 6th and 7th centuries) and various sites reflecting the life of those times.<br/><br/>Asuka is a village of 5,620 inhabitants. We walk there while admiring the old town of Edo style architecture (16th-19th centuries).<br/><br/>Your guide accompanies you through the next UNESCO World Heritage Site “Asuka-Fujiwara: Archaeological Sites of the Ancient Capitals of Japan” (scheduled for 2026). We visit Asuka-dera Temple (596), home to the oldest Buddha in Japan (606). We go to the remains of the Itabuki Imperial Palace, then we go to Ishibutai, an ancient tomb of a 7th century nobleman.<br/><br/>After this day, you will learn more about the protohistory of Japan and you will have recovered in the middle of nature. Are you coming? We are waiting for you!","{""guidanceTypes"":[{""id"":null,""created"":[2021,6,9,5,39,13,179000000],""guidanceType"":""GUIDED"",""languages"":[""en"",""fr"",""ja""]}]}",https%3A%2F%2Fbokun.s3.amazonaws.com%2F6a8cdfd3-b9e5-402e-830e-555a858fe1e5.jpg,,,,
843560,"Full-Day Private Guided Tour to Sakai City
","Come with us to discover Sakai and the history of Japan during a day on foot and by public transport!<br/><br/>We start with the port of Sakai. We see different historical monuments from the 16th and 19th centuries. What a history lesson!<br/><br/>We visit the Knife Museum. The famous blacksmiths of Sakai are honored with the kitchen knife sword. We then go to Sakai Plaza de Rikyu and Akiko, a museum that traces the evolution of Sakai from antiquity to the modern era. We can discover the rich history of the city and its link with Japan.<br/><br/>We then go to the mausoleum of Emperor Nintoku, dating from the 5th century and part of the UNESCO World Heritage. This kofun, mound, gives off a unique atmosphere and is one of the most significant monuments in Japan.<br/><br/>Learn more about the history of Japan and Sakai after this day. You will also have had plenty in the eyes of this picturesque city! Are you coming? We are waiting for you!","{""guidanceTypes"":[{""id"":null,""created"":[2023,7,19,14,7,30,553047000],""guidanceType"":""GUIDED"",""languages"":[""fr"",""en"",""ja""],""displayLanguages"":[]}]}",https%3A%2F%2Fbokun.s3.amazonaws.com%2Fc76d6148-b2d4-418c-bd5b-48dfed559c93.jpg,,,,
843562,Full-Day Private Guided Tour to Mount Koya,"Come with us to visit Mount Koya, Japan’s spiritual and cultural jewel, for a day on foot and by public transport! <br/><br/>We take the train and we sink into the deep countryside. This gives us a contrasting view between the lively city and the quiet nature, before reaching the top of the mountain by cable car.<br/><br/>The Daimon portal welcomes us upon arrival. We are crossing this border between the human world and the spirit world. Then we walk and visit Danjo Garan, the historic center of the Shingon Buddhist sect since the 9th century, then the Kongobu-ji Temple, founded by the military dictator Hideyoshi Toyotomi, which now serves as an administrative center. <br/><br/>We finally visit Oku no In. Japan’s largest cemetery houses the mausoleum of Kobo Daishi and 200,000 graves of people who wanted to rest with him.<br/><br/>You will learn more about the history, culture and spirituality of Japan after this day. Are you coming? We are waiting for you!","{""guidanceTypes"":[{""id"":null,""created"":[2023,12,19,2,11,32,647959000],""guidanceType"":""GUIDED"",""languages"":[""fr"",""en"",""ja""],""displayLanguages"":[]}]}",https%3A%2F%2Fbokun.s3.amazonaws.com%2F8d89a1f3-be30-463a-87d5-ae9467ea8887.jpg,,,,
843564,Full-Day Private Guided Tour to Himeji and Kobe,"Come with us to visit Himeji Castle and the city of Kobe in one day on foot and by public transport!<br/><br/>This tour begins with a visit to Himeji Castle. Here we have one of the 12 authentic Japanese castles. The keep dates from 1618. The ensemble offers us a glimpse of Japan's feudal past. We have a great history lesson!<br/><br/>Then we go to Kobe. Mountain and sea meet proudly. We discover downtown Sannomiya, Nankinmachi Chinatown, and finally the port, with Harborland. Kobe is a pretty modern city. It is full of contrasts and charm. You're bound to like it.<br/><br/>After this day, you will learn more about the History of Japan! You will also have had plenty in your eyes of the dynamism of Kobe. Are you coming? We are waiting for you!","{""guidanceTypes"":[{""id"":null,""created"":[2023,12,21,0,12,46,635366000],""guidanceType"":""GUIDED"",""languages"":[""fr"",""en"",""ja""],""displayLanguages"":[]}]}",https%3A%2F%2Fbokun.s3.amazonaws.com%2F95d0ef9b-9f2b-420f-9a88-397c24745322.jpg,,,,
