id,content_url,language,title,description
MFGwj1AIQF7vhG9JyyiC6,https://www.youtube.com/watch?v=dn8I15bYgpE,JA,【福島土産】迷ったらこれ！福島の喜ばれるお土産15選,"This is a guide for your trip or sightseeing in Fukushima Prefecture. This time, we will introduce 15 recommended souvenirs from Fukushima, focusing on three categories: Japanese sweets, Western sweets, and local gourmet food. If you have any other recommendations not mentioned in this video, please share them in the comments!"
TIKsNNqrdIaQ0GUNDcFiN,https://www.youtube.com/watch?v=779ppoCATN0,JA,会津若松を観光する上で絶対外せない！福島県の観光スポット15選,"Please use this as a reference for your trip or sightseeing in Fukushima Prefecture. This time, we will guide you through 15 recommended tourist spots in Aizu-Wakamatsu City. If you have any recommendations that are not mentioned in this video, please share them in the comments section!"
nsRkU-Di0_PK_8_si9duu,https://www.youtube.com/watch?v=CjruWRBPJ4U,JA,【山形/温泉旅行】日帰りでOK！山形の人気温泉スポット15選,"Please use this for your travel and sightseeing in Yamagata Prefecture. This time, we will guide you through 15 popular recommended hot spring spots that you can enjoy on a day trip in Yamagata Prefecture. If you have any recommendations that are not mentioned in this video, please feel free to share them in the comments section."
FOLvwhlMn0NJMZaplfeUi,https://www.youtube.com/watch?v=knN_BNQBz7M,JA,【山形 観光】山形市の人気ランチスポット15選,"Please use this as a reference for your trip or sightseeing in Yamagata Prefecture. This time, we will guide you through 15 popular lunch spots in Yamagata City, including stylish shops and delicious yet reasonably priced options. If you have any recommendations that are not mentioned in this video, please share them in the comments section!"
Pb3gwl29LZYpjk4AjeB-k,https://www.youtube.com/watch?v=ZLvzNAUUJEE,JA,【福島】福島県いわき市観光15選！いわきのおすすめ観光スポット（アクアマリンふくしま.スパリゾートハワイアンズ...）,"Please use this as a reference for your trip or sightseeing in Fukushima Prefecture. This time, we will guide you through 15 recommended tourist spots in Iwaki City, from the classics to hidden gems. If you have any recommendations that are not mentioned in this video, please share them in the comments section!"
QoJ3LzNDjxiBtYMvk4zTa,https://www.youtube.com/watch?v=VyPtoNzeGYg,JA,【岩手 観光】岩手のオススメ観光スポット10選,"Please use this as a reference for your trip or sightseeing in Iwate Prefecture. Iwate Prefecture has many tourist attractions scattered throughout. Here, we introduce 10 recommended tourist spots in Iwate where you can enjoy nature. These are all places where you can relax and unwind, so go out with your family or good friends."
E70hObH2jYWViYNBnjG7V,https://www.youtube.com/watch?v=n6UHKWfAuqA,JA,【岩手 観光】岩手で人気の宿15選,Please refer to this for travel and sightseeing in Iwate Prefecture.
1s4H1DVkt5ajWy4wDtWr_,https://www.youtube.com/watch?v=qtPYVlv9hvI,JA,【パワースポット巡り】 神社仏閣で金運もUP！山形観光でエネルギーを蓄える！,"Please use this as a reference for your trip or sightseeing in Yamagata Prefecture. Yamagata is known for its famous hot spring areas such as Ginzan Onsen and Zao Onsen, but it is also known for having many power spots. This time, we will guide you through 15 recommended power spots in Yamagata that are said to definitely increase your luck."
lcfnhDX8myBCtrJt59wOG,https://www.youtube.com/watch?v=5FgLoBDgtaQ,JA,【愛媛 観光】愛媛で人気の高いグルメスポット14選,Please use this as a reference for your trip or sightseeing in Ehime Prefecture.
5A3kCvb4vzYF_dnRAVc4m,https://www.youtube.com/watch?v=1VB8zqp4iD0,JA,【愛媛】 愛媛県松前町の大人気グルメスポット14選,"Please refer to this for your travel and sightseeing in Ehime Prefecture. Matsumae Town in Iyo District, Ehime Prefecture, is known for the ruins of Matsumae Castle and one of the representative ritual sites in western Japan. This time, we will guide you through 14 popular gourmet spots located in Matsumae Town. If you have any recommendations that are not mentioned in this video, please feel free to share them in the comments section."
eX6ktxlAqst09ON122BZ4,https://www.youtube.com/watch?v=ZNRhGCbLi7E,JA,【岩手 観光】岩手の絶品グルメ10選,Please use this as a reference for your trip or sightseeing in Iwate Prefecture.
O6yttHApdv0T6Au-m9CU8,https://www.youtube.com/watch?v=MHMaM5Ean5k,JA,【三重】リゾートを楽しもう！三重県伊勢志摩のホテル9選,"Please use this for reference when traveling or sightseeing in Mie Prefecture. Ise-Shima is famous for its proximity to the sea and delicious fresh seafood. After enjoying sightseeing in Ise-Shima, stay at a wonderful hotel and indulge in hot springs and fresh seafood. This time, we will guide you through 9 popular hotels in Ise-Shima."
UqgkodtUn7a-7FoAeLIHr,https://www.youtube.com/watch?v=1I5SgEO1maw,JA,【岩手 観光】岩手のおすすめ寿司店15選,Please use this as a reference for your trip or sightseeing in Iwate Prefecture.
iMXxkC5H0idZE5JOuFraP,https://www.youtube.com/watch?v=DtZPba-5UFI,JA,【秋田  観光】秋田で人気の癒し観光スポット10選,Please refer to this for your trip or sightseeing in Akita Prefecture.
ua7bWoQPm-RuT93rVodOY,https://www.youtube.com/watch?v=A3cU8LA9zqk,JA,【沖縄 観光】石垣島でやっておきたいこと15選,Please refer to this for your travel and sightseeing in Okinawa.
l0Oqb-cw_UgfzVYkIXyA1,https://www.youtube.com/watch?v=7DZJ0cVUAdY,JA,【佐賀 観光】佐賀のオススメホテル＆旅館10選,Please refer to this for travel and sightseeing in Saga Prefecture.
4fI-Iq9WgljvixHvD9URo,https://www.youtube.com/watch?v=lZqj5EmvauQ,JA,【佐賀 観光】佐賀のおすすめデートスポット10選,Please use this as a reference for your trip or sightseeing in Saga Prefecture.
fngeGdtdxWRc99glmNYqi,https://www.youtube.com/watch?v=Rt9YKpcnnV0,JA,【岡山 観光】 倉敷のおすすめ観光スポット10選！,"Please use this as a reference for your trip or sightseeing in Okayama Prefecture. Kurashiki City in Okayama Prefecture is widely known as a city of art. Here, we introduce 10 tourist spots full of the charm of Kurashiki, the city of art. If you visit Kurashiki, please make use of this information. If you have any recommendations that are not mentioned in this video, please share them in the comments section."
mDeox-l78UevRHGZYQkBI,https://www.youtube.com/watch?v=rrRH23nzzE8,JA,【滋賀 観光】雨の日も安心の滋賀の観光地10選,Please use this as a reference for your trip or sightseeing in Shiga Prefecture.
iTlgujUIbyAfoT3nsva74,https://www.youtube.com/watch?v=169PzZhYhCk,JA,【広島 観光】広島の有名観光スポット15選,"Hiroshima Prefecture has two World Heritage Sites: Itsukushima Shrine on Miyajima and the Atomic Bomb Dome. It is also a region blessed with nature, where you can enjoy seafood from the Seto Inland Sea, including oysters, and Hiroshima-style okonomiyaki. This time, we will guide you through 15 famous tourist spots in Hiroshima Prefecture. If you have any recommendations that are not mentioned in this video, please share them in the comments section!"
9xDMR0K-BAfiQzYgHlEG6,https://www.youtube.com/watch?v=yf_EiX0rf_0,JA,【山口 観光】 山口県の絶景スポット！一度は見たい9選,"Please use this as a reference for your trip or sightseeing in Yamaguchi Prefecture. There are various tourist spots in Yamaguchi Prefecture, but this time we will introduce the spots where you can see particularly beautiful views! If you have any places of interest, please check them out! If you have any recommendations that are not mentioned in this video, please share them in the comments!"
dAaFG3qtkTPoE59hFB02W,https://www.youtube.com/watch?v=0k1hyWjTKEE,JA,【山口 観光】 長門でオススメのホテル＆旅館9選,"Please use this as a reference for your trip or sightseeing in Yamaguchi Prefecture. Nagato City in Yamaguchi Prefecture is full of long-established hot springs and fresh seafood. Here, we introduce 9 recommended hotels and ryokans in Nagato where you can enjoy everything from food to hot springs. If you have any recommendations that are not mentioned in this video, please share them in the comments section."
7szerd4NUSkOomn4igOww,https://www.youtube.com/watch?v=bST-DOdAIXg,JA,【兵庫 観光】 神戸の人気ホテル！泊まりたいおすすめの15選,Please refer to this for your trip or sightseeing in Hyogo Prefecture.
B7C2otpiodSzkOrMYgKQ6,https://www.youtube.com/watch?v=706JkbRBmKs,JA,【山口 観光】 山口の民宿・ペンション！魅力満載の8選,"Please use this as a reference for your trip or sightseeing in Yamaguchi Prefecture. Yamaguchi Prefecture has many attractive inns and pensions. Here, we introduce '8 inns and pensions packed with the charm of Yamaguchi,' divided into the Japan Sea side and the Seto Inland Sea side, detailing each facility. Please make use of this when searching."
Uy4zQ6MQewK7PgKPO8oH6,https://www.youtube.com/watch?v=uzjDwIB5VQc,JA,【兵庫 観光】姫路で訪問したい観光スポット15選,Please use this as a reference for your trip or sightseeing in Hyogo Prefecture.
fVJxTUb94MrDB1rB8VPb5,https://www.youtube.com/watch?v=D09ou-Wja2Q,JA,【兵庫 観光】 神戸のおすすめパワースポット15選,"Please use this as a reference for your trip or sightseeing in Hyogo Prefecture. This time, we will guide you through 15 recommended power spots in Kobe. If you have any recommendations that are not mentioned in this video, please share them in the comments section!"
H-_0Yx9jmyWm-53Z2IiWc,https://www.youtube.com/watch?v=POpN6_xx2Vo,JA,【神奈川 観光】横浜でインスタ映えスポット15選,Please use this as a reference for your trip or sightseeing in Kanagawa.
dNHOtaiYKgiYo7W1uO-gK,https://www.youtube.com/watch?v=P26H8DVlneQ,JA,【京都 観光】 京都ラーメン15選（四条河原町 一乗寺 伏見...）,"Please use this as a reference for your trip or sightseeing in Kyoto. Just like there are tourist spots everywhere you walk, there are many delicious ramen shops wherever you go. We introduce recommended ramen shops that you can stop by during your sightseeing."
mh45K_ccnXXlApnP4S19_,https://www.youtube.com/watch?v=CEoFJQqqYXQ,JA,【福岡 観光】 福岡で宿泊したい素敵なホテル15選,"This is a guide for your trip or sightseeing in Fukuoka Prefecture. This time, we will introduce 15 wonderful hotels in Fukuoka, ranging from luxury hotels to more casual options. If you have any recommendations that are not mentioned in this video, please share them in the comments section!"
wDK6FlwxfmoY0OOYx8raj,https://www.youtube.com/watch?v=_cqlWXhF0j4,JA,마쓰에 성의 아침 해,"시마네의 절경
아름다운 일본의 정신과 원풍경

드라마틱! 빛의 절경
마쓰에 성의 아침 해"
6QPK8RcsMr3MrbayKc_5Z,https://www.youtube.com/watch?v=sZfBLZqxptM,JA,【石川 観光】金沢寿司10選！,Please use this as a reference for your trip or sightseeing in Ishikawa Prefecture.
g6plw3-l3m6s9LBs6OnKd,https://www.youtube.com/watch?v=an4TzGewf5Y,JA,【山形 観光】 山形県民も絶賛の人気グルメスポット10選,"When traveling or sightseeing in Yamagata Prefecture, please use this as a reference. Yamagata Prefecture has many popular gourmet options loved by locals. This time, we will introduce particularly recommended gourmet spots. Both lunch and dinner are recommended, so please use this as a reference when dining in Yamagata Prefecture."
DoKlZoEs-S9Hqw7ptcb1d,https://www.youtube.com/watch?v=adBIUBoEOMw,JA,【山形 観光】 山形でオススメのお土産10選,Please refer to this for your trip or sightseeing in Yamagata Prefecture.
wERa-olzS-AhqITYzr-g4,https://www.youtube.com/watch?v=SNX6fxpLUmk,JA,【愛媛 観光】 愛媛のおすすめランチスポット10選,"Please refer to this for your travel and sightseeing in Ehime Prefecture. Ehime Prefecture has many towns, including the prefectural capital Matsuyama City. Here, we introduce 10 lunch spots that you must visit when you go to Ehime. Each place is full of charm and deliciousness, so please enjoy the flavors."
-VkNV2ZuCSpu_Uao-aYtD,https://www.youtube.com/watch?v=OkNvF312Hc0,JA,Night Walk around Osaka Dotonbori(夜の大阪道頓堀を歩く)  | 4K HDR,"I walked around Osaka Dotonbori, the most crowded district in the city, at night."
p1uRw34mwv1Wb7FEaPZb_,https://www.youtube.com/watch?v=le5vxAVcpCA,JA,【山形観光】四季の彩りを満喫！山形の絶景観光スポット7選,"Please use this as a reference for your trip or sightseeing in Yamagata Prefecture. This time, we will introduce the scenic spots of Yamagata Prefecture. If you have any recommendations that are not mentioned in this video, please share them in the comments section."
_d81jGc1lkDKhQa0n-nyL,https://www.youtube.com/watch?v=K4UnfujE8Do,JA,【新潟観光/グルメ】新発田市の定番めぐり！心を満たす観光とグルメの旅７選,"Please use this as a reference for your trip or sightseeing in Niigata Prefecture. This time, we will introduce the standard spots in Shibata City, Niigata Prefecture. If you have any recommendations that are not mentioned in this video, please share them in the comments section."
UltQ-417W8oj6ZJWsEGKb,https://www.youtube.com/watch?v=Dg8b9yhy-ac,JA,Night Walk around Osaka Umeda(夜の大阪梅田を歩く)  | 4K HDR,"I walked around Osaka Umeda on Friday at night. There was a great crowd of people, gathered in the downtown area."
rc3582J7QF-BTwptR2t71,https://www.youtube.com/watch?v=OI9bTBf3KCk,JA,北山村筏下り,http://www.vill.kitayama.wakayama.jp/raft/
9Ju_TS29VGRI0PcQiUdi7,https://www.youtube.com/watch?v=lIRgbx52toQ,JA,桃源郷,http://www.ja-kinosato.or.jp/03_einou/04_nosakumotu/
ne2BnAYjXgN9WHkOS7vut,https://www.youtube.com/watch?v=0rQvmkfCdSY,JA,日本一の藤棚ロード,http://www.town.hidakagawa.lg.jp/m/sato.html
bTfBHCDU-r7gQ8PuZsCUw,https://www.youtube.com/watch?v=uQIJEaIaD3w,JA,海の校舎,"––––––––––––––––––––––––––––––
All I Want For Summer by Del. https://soundcloud.com/del-sound
Creative Commons — Attribution-ShareAlike 3.0 Unported — CC BY-SA 3.0
Free Download / Stream: https://bit.ly/3qgBn5k
Music promoted by Audio Library https://youtu.be/oux0KVAO6-o
––––––––––––––––––––––––––––––"
2TnmlxU6EJCqkzJG8K3Gs,https://www.youtube.com/watch?v=rUGz9eGLmXY,JA,오카야마 일본 전편,"일본・오카야마현의 매력적인 관광지를 소개합니다. 오카야마현에는 국가지정 전통적건조물군 보존지구인쿠라시키 미관지구, 일본3대 명정원의 하나인오카야마 고라쿠엔등 많은 관광명소가 있습니다.

~「오카야마 COOL!」을 발신하는 외국어 사이트~

오카야마 현에서는 오카야마의 관광, 맛집, 이벤트 정보를 게재한 홈페이지를 신설했습니다. 현재 오카야마에서 살고 있는 한국 사람들이 직접 보고 느낀 것을 쓴 홈페이지입니다. 
여러분 꼭 한 번 사이트를 보시고 오카야마를 찾아 주세요. 
사이트 주소: http://welcome-okayama.pref.okayama.jp/"
sImD44HikDAZw81ZGFoiP,https://www.youtube.com/watch?v=dP3O_mkqTwc,JA,森の国 LET'S BE FRIENDS（English）,https://etooto.jp/
w-ePyRg32zsYV-VVUsxGi,https://www.youtube.com/watch?v=3CloUC4c9SA,JA,"Walking around Gokayama（五箇山）, Traditional Beautiful Japanese Village and Landscapes | 4K HDR","Gokayama, Toyama Prefecture, known as one of the world heritage sites, has beautiful scenery, which is famous for the combination of nature and old traditional buildings. I walked around Suganuma, one of two world heritage villages in Gokayama area. The mountain behind village gets more beautiful in Autumn."
1DSNmZYyI_DFC_zXdA8L-,https://www.youtube.com/watch?v=Fb79c9EhzcI,JA,【Full HD】志摩スペイン村　ピレネー最前列【1080p】,"I rode in the front row of the roller coaster 'Pyrenees' at Shima Spain Village, perfect for roller coaster lovers! Enjoy the thrilling footage! *Filmed with special permission."
8_7U2pKBODQ9n8LKfnXG0,https://www.youtube.com/watch?v=_xgbgRYBhfQ,JA,GEO MIRACLE KOBE(Long ver. English subtitles）,http://plus.feel-kobe.jp/
ubLJa-cuzPhtVXLLD0R4K,https://www.youtube.com/watch?v=2ca3oywJmSk,JA,GEO MIRACLE KOBE(Long ver. 日本語字幕）,http://plus.feel-kobe.jp/
UuIilrlLqm9PEFfZoQIfp,https://www.youtube.com/watch?v=g3dy3qAbLsI,JA,GEO MIRACLE KOBE～Mother Mt.Rokko～（English subtitles）,http://plus.feel-kobe.jp/
STQxkyKyFzUq_Ix_lDjUd,https://www.youtube.com/watch?v=MEoZ1HM3IZE,JA,GEO MIRACLE KOBE ～Water and Sake～（English subtitles）,http://plus.feel-kobe.jp/
t9jJemnglbcQaJ_JgKFEx,https://www.youtube.com/watch?v=AtLUxlc_HO4,JA,2555,https://etooto.jp/
wn3yCLn_SPzsovOuVP3Ep,https://www.youtube.com/watch?v=3r7jy-EWoyA,JA,NAME CAMP 60s,https://etooto.jp/
Mo3GkeZesGHWBgt4oS5e3,https://www.youtube.com/watch?v=Y2S1AfQXpes,JA,森の国 Explore Local,"WEB SITE
https://etooto.jp/"
9K_4jmvxilssA7aML2G4r,https://www.youtube.com/watch?v=VKEd14aMdIY,JA,日本の精神的な心の故郷—和歌山,https://en.visitwakayama.jp/
EWNtTbAyIOVqjH7psXWwc,https://www.youtube.com/watch?v=LykzaFjf8YM,JA,Giant Halloween Pumpkins 2021 at Yumenoshima | Halloween Pumpkins | Halloween Party | ハロウィンパーティー2021,"#yumenoshimahalloweenparty2021 #halloweenpumpkins #halloweenintokyo #halloween2021

Welcome back to Yumenoshima tropical greenhouse dome. As you can see on our last posted video, Daddy and i were here and we enjoyed much with the tropical plants in the dome. And since Jt was not with us that day, we went back here today and we will be enjoying with the giant halloween pumpkins. 

An exhibition of these giant ghost pumpkins, which they call Yumenoshima halloween party, is celebrated and very popular every year. And since the halloween is just around the corner, this event is already happening right now. It started on the 22nd of September and will last until the 31st of October. 

They will exhibit more than 100 giant ghost pumpkins weighing 50 to 100 kilograms. Can you imagine how heavy and big is that? These giant pumpkins were made in Hitachiomiya City, in Ibaraki Prefecture, in connection with the Halloween. 

With an admission fee of 250 yen for each adult, you can roam around the greenhouse dome, learn and enjoy the tropical plants which you barely see everyday. Kids under 12 years old can enter free of charge. And for sure your toddlers will have fun with these giant ghost pumpkins all around the open garden. There will also be a photography area just inside the hall with the halloween backdrops. So you better grab your favorite halloween costumes and get ready for memorable photos.

You can also bring your own food and have a small picnic in the garden together with these ghost pumpkins, orrr, you can just go to the cafeteria inside the hall and grab any food of your choice.

Event Date and Hours: 
September 22– Sunday,Tuesday–Sunday  9:30 – 17:00 (Last entry 16:00). Closed on Monday. If Monday is a public holiday they will open and close on Tuesday.

Cost: Fees: Adults 250 yen, Ages 65 and older 120 yen, Ages 13–15 100 yen
Under 12 FREE!

Address: 2-1-2 Yumenoshima, Koto-ku
Phone: 03-3522-0281
Website: http://www.yumenoshima.jp/

Note: this is in Japanese language. You can use google chrome too as it has an automatic translator if you wish to view it in English.

Access: 10 minute walk from Shin-Kiba Station, which is 10 minutes from Tokyo Station on the Keiyo Line. Also accessible on the Yurakucho Line.

You can also access the Metro Tozai line’s Toyocho Station and take the Toei Bus going to Shinkiba, get off at the Yumenoshima Stop and from there you can walk 7mins to Greenhouse Dome.

Notes: Nursing room and Diaper changing table located in the Botanical Garden. Please ask the staff for directions."
3v_070xcKA6Pskak0wAkk,https://www.youtube.com/watch?v=rAQhk99fzwc,JA,RAKUGO DE NAGOYA,"#NAGOYA ＃RAKUGO
Đây là Video quảng bá du lịch Nagoya thông qua các hình ảnh nghệ thuật biểu diễn truyền thống Nhật Bản ""RAKUGO"".
Video sẽ mang đến cho bạn những hình ảnh nổi bật của thành phố Nagoya - ""Một thành phố thú vị, một thành phố đáng để ghé thăm""
Hãy cùng chúng tôi khám phá thành phố Nagoya thông qua câu chuyện của ông và cháu nhé!"
lZ29X4OHbIylorlfGFd8w,https://www.youtube.com/watch?v=zU7FOJYiDnA,JA,Традиционная японская игра с веером! (Japanese traditional game. Having fun using a fan!),"English Below


Я попробовала сыграть в традиционную японскую игру тосэнкё. Я раньше никогда не слышала об этой игре. И вот что из этого вышло.


----------------------------------------------------------------------------------------------------



I tried a Japanese traditional game.
I have never heard of a game using a fan.
What is it like??


===================================================
""Unexpected Japan"" is a YouTube channel operated by Ayabex inc., an inbound travel agency. 
As a travel agency, we introduce charms of sightseeing spots in Japan from professional perspective.

** Please subscribe us！ **

► YouTube   https://www.youtube.com/channel/UCgJ1fenTgwsTDNgfQ1egFlw
► Instagram https://www.instagram.com/_unexpected_japan_/
► Twitter   https://twitter.com/JapanUnexpected
► Facebook  https://www.facebook.com/Unexpected-Japan-102942654851907/

Please email us for business inquiry :
unexpected-japan@ayabex.com

==================================================="
1bJeyrgZNSKtVHWDCPHV6,https://www.youtube.com/watch?v=n3LwMTl_CWY,JA,Meiji Jingu Shrine under COVID-19 condition - Travel report Vlog. Мэйдзи Дзингу во время пандемии.,"English below.

Привет! Меня зовут Юлия, и я из России. Сейчас я живу в Токио, и я тоже член команды канала Unexpected Japan.
Сегодня я хочу вам показать как выглядит святилище Мэйдзи Дзингу во время пандемии COVID-19.
Надеюсь, вам понравится, и скоро вы сможете посетить его самостоятельно!

Hi! I'm Yuliya from Russia. I live in Tokyo now.
I am a member of this channel Unexpected Japan, please let me share the view of Meiji Jingu shrine under COVID-19 condition.
I hope everyone enjoy watching video & will be able to come to Japan soon!


 ===================================================

** Please subscribe our channel **
**Подписывайтесь на наш канал**

► YouTube   https://www.youtube.com/channel/UCgJ1fenTgwsTDNgfQ1egFlw
► Instagram https://www.instagram.com/_unexpected_japan_/
► Twitter   https://twitter.com/JapanUnexpected
► Facebook  https://www.facebook.com/Unexpected-Japan-102942654851907/

==================================================="
xyhzFsgOsJTdmeNlXOg8f,https://www.youtube.com/watch?v=PGsdFRERUuY,JA,江津良海水浴場,a
C0WIiZCe7M3AOM56VeA2h,https://www.youtube.com/watch?v=K8tQ7ZjCMzY,JA,航空券普通に取ってないよね？🌏surfshark.com/shumpei にアクセスしてクーポン「SHUMPEI」で入れてみて！4ヶ月追加されるよ！,https://surfshark.com/shumpei
lUvWNs-tnTwDCZUQlwkh4,https://www.youtube.com/watch?v=9pzoGSdcR-k,JA,中津川＆下呂PR動画 「Wonderful days」【4K】,This video is a PR film for Gero City and Nakatsugawa City.
wYEFlH8__Il1VgSEfzblz,https://www.youtube.com/watch?v=7pHTqTHm8H8,JA,大淀ふれあいキャンプ場（三重県明和町）｜【公式】観光三重,"Oyodo Fureai Campground, located along the coast in Meiwa Town, Mie Prefecture, is a recommended leisure spot where you can enjoy beautiful nature and outdoor activities, including sea fishing! In addition to tents, there are bungalows equipped with air conditioning and car sites, making it easy for outdoor beginners to enjoy camping. In summer, swimming in the beautiful blue sea right in front of the campground is very popular! The shallow waters and calm waves make it perfect for families with children. Barbecue ingredient sets can also be reserved. It is close to popular tourist destinations in Mie Prefecture such as Ise, Toba, and Shima, making it a great campground for creating family memories."
xn9NhYeuDzUursSmZ30K7,https://www.youtube.com/watch?v=vre5raxM4Rw,JA,다이빙 투어 4K 한국어 30 초,"다이빙 ""(한국어)
아마미 오시마에서 즐길 수있는 에코 투어를 체험 할 수 있습니다. 이 비디오는 ""다이빙""입니다."
